Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",51.788000,-61.468000,0.000000,top
"C2","100n","C_0402_1005Metric",57.178000,-73.152000,180.000000,top
"C3","100n","C_0402_1005Metric",60.194000,-64.671500,-90.000000,top
"C4","100n","C_0402_1005Metric",48.510000,-64.167500,90.000000,top
"C5","10u","C_0603_1608Metric",51.803000,-59.817000,0.000000,top
"C6","10n","C_0402_1005Metric",48.510000,-68.354000,90.000000,top
"C7","1u","C_0402_1005Metric",47.526000,-71.973500,180.000000,top
"C8","1u","C_0402_1005Metric",47.526000,-73.497500,180.000000,top
"C9","100n","C_0402_1005Metric",52.094000,-73.152000,0.000000,top
"C10","10p","C_0402_1005Metric",45.212000,-65.448000,90.000000,top
"C11","10p","C_0402_1005Metric",45.212000,-67.790000,90.000000,top
"C12","22u","C_0805_2012Metric",61.788000,-73.406000,0.000000,top
"C13","22u","C_0805_2012Metric",66.548000,-77.536000,90.000000,top
"D1","RED","LED_0603_1608Metric",69.977000,-78.486000,-90.000000,top
"FB1","120R","L_0603_1608Metric",49.276000,-72.669500,-90.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",72.356000,-67.312000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",67.056000,-55.118000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",54.356000,-55.118000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",47.498000,-81.788000,90.000000,top
"R1","1k5","R_0402_1005Metric",69.977000,-75.438000,90.000000,top
"R2","1k5","R_0402_1005Metric",51.306000,-77.724000,180.000000,top
"R3","1k5","R_0402_1005Metric",53.592000,-77.724000,0.000000,top
"R4","10k","R_0402_1005Metric",41.656000,-59.946000,90.000000,top
"R5","5k1","R_0402_1005Metric",72.900000,-73.406000,0.000000,top
"R6","5k1","R_0402_1005Metric",65.786000,-63.756000,90.000000,top
"R7","1M","R_0402_1005Metric",67.816000,-60.960000,0.000000,top
"R8","1k5","R_0402_1005Metric",65.786000,-67.312000,-90.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",38.430000,-63.270000,-90.000000,top
"U1","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",54.356000,-67.310000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",61.722000,-79.146000,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",42.842000,-66.658000,-90.000000,top
